"순번","제목","내용","첨부파일명","첨부파일경로","조회수","첨부파일원본명"
"10","서울둘레길 스탬프 ","스탬프 이미지","1631864976269542000.zip","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=10&divi=5","3076","스탬프 및 지점정보.zip"
"12","서울둘레길 앱 관련 이미지","앱 관련 이미지","1606109394526550000.zip","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=12&divi=5","4272","서울둘레길 관련 소스.zip"
"15","test","screen","4859899254097498.html","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=15&divi=5","1","a.html"
"18","100원정대 신청서 양식입니다","100인원정대 신청서양식 입니다 다운받아 작성하세요.","14600527300522007.hwp","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=18&divi=5","1575","100인원정대 참가신청서.hwp"
"7","'서울, 테마산책길' 책자 출간 안내"," 서울시는 봄을 맞아 테마가 있는 산책길 40곳, ‘서울, 테마산책길’을 출간했다고 밝혔다. 금번 ‘서울, 테마산책길’ 은 숲이 좋은 길(17곳), 계곡이 좋은 길(2곳), 전망이 좋은 길(10곳), 역사 문화 길(11곳) 4가지 테마로 구분하여 안내하였으며, 코스 소개, 대중 교통, 길안내, 코스 지도 및 사진, 주변 볼거리와 그 길에서만 만날 수 있는 다양한 이야기를 담아 엮었으며, 특히 핸드북 크기로 제작되어 가볍게 읽을 수 있다. ","1458543581724940000.pdf","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=7&divi=5","6797","서울,테마산책길_저해상.pdf"
"1","서울 둘레길 지도","서울 둘레길 지도입니다. 첨부파일을 다운받아 보세요.","1039195657929632.zip","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=1&divi=5","18425","서울 둘레길 지도.zip"
"2","서울 둘레길 가이드북","서울 둘레길 가이드북입니다. 첨부파일로 다운받아 보세요.","1039386292804970.zip","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=2&divi=5","12602","서울둘레길_안내책자.zip"
"3","서울 둘레길 노래","서울 둘레길 노래(음악, 영상)입니다. 첨부파일을 다운받아 보세요.","1039494568489669.zip","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=3&divi=5","3419","즐거운 서울 둘레길.zip"
"5","서울둘레길 스탬프북","서울둘레길 스탬프북 pdf 파일입니다. ","7598856248020258.pdf","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=5&divi=5","13025","서울둘레길 스탬프북.pdf"
"6","서울둘레길 설명자료","서울둘레길 상세설명자료입니다. ","8012877674534824.pdf","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=6&divi=5","10787","서울둘레길 설명자료.pdf"
"8","서울의 자락길 리플릿 제작 및 배포","서울시는 장애인 날을 맞이하여 사회적 약자인 장애인 및 노약자 등 누구나 쉽게 걸을 수 있는 숲속 힐링 공간을 체험할 수 있는 '서울의 자락길 리플릿”을 제작하였습니다.  총 16개의 자락길을 안내하고 있으며 각 자락길별 코스, 거리, 교통편 등을 안내하고 있으니 자락길 방문시 참고하시기 바랍니다. ","1460599900184690000.pdf","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=8&divi=5","8687","서울자락길 내지_90_170쪽수.pdf"
"4","서울 둘레길 선형 GIS정보(GPX파일)입니다!!!","고맙게도 수명산의 블로그(http://blog.naver.com/twkimjan) 운영자님께서 주신 파일입니다^^ ","2868858676172998.zip","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=4&divi=5","9963","서울 둘레길 선형정보(GPX).zip"
"9","서울둘레길 코스gpx자료(앱개발시참조)","서울둘레길 코스gpx자료","1606799235398303000.gpx","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=9&divi=5","6698","100211_20201117162225.gpx"
"13","서울둘레길 스탬프북(인쇄용)","서울둘레길 스탬프북 인쇄용 화일입니다. 스탬프북을 다운받아 인쇄하여 사용 가능합니다","1619513769819631000.hwp","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=13&divi=5","5331","서울둘레길 스탬프북.hwp"
"14","서울둘레길 스탬프 위치","스탬프 위치","1631865069670621000.zip","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=14&divi=5","4102","스탬프 및 지점정보.zip"
"16","서울둘레길 스탬프북(인쇄용)","서울둘레길 스탬프북 인쇄용 화일입니다.  스탬프북 화일을 다운받아 인쇄하여 사용 가능합니다","14352827340848185.pdf","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=16&divi=5","3395","서울둘레길 스탬프북.pdf"
"19","'12기 100인 원정대' 합격자 개인정보 이용 동의서","'12기 100인 원정대' 합격자 분들은 붙임3-개인정보이용동의서를 작성하시어  seoultrail@komount.or.kr 로 보내주시기 바랍니다. 감사합니다.","712669532351645.hwp","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=19&divi=5","1788","붙임3-개인정보이용동의서.hwp"
"20","서울 둘레길 지도 (2022년 버전)","서울 둘레길 지도 2022년 버전입니다.  첨부파일을 다운받아 보세요.","9669031729729847.pdf","http://gil.seoul.go.kr/common/download/fileDown_poster.jsp?num=20&divi=5","5889","서울둘레길 지도(2022).pdf"
