"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW16-0502","한식/중식/일식","전통음식","한식 일반","솔로몬가든","솔로몬가든","서울특별시","강북구","인수동"
"BE_IW16-0503","한식/중식/일식","전통음식","한식 일반","솔밭골","솔밭골","서울특별시","동작구","대방동"
"BE_IW16-0504","한식/중식/일식","전통음식","한식 일반","솔밭숯불갈비","솔밭숯불갈비","서울특별시","강북구","송천동"
"BE_IW16-0505","한식/중식/일식","전통음식","한식 일반","솔향기","솔향기","서울특별시","영등포구","양평2동"
"BE_IW16-0506","한식/중식/일식","전통음식","한식 일반","솔향기","솔향기","서울특별시","용산구","원효로1동"
"BE_IW16-0507","한식/중식/일식","전통음식","한식 일반","솟대","솟대","서울특별시","종로구","혜화동"
"BE_IW16-0508","한식/중식/일식","전통음식","한식 일반","송담추어탕","송담추어탕","서울특별시","마포구","연남동"
"BE_IW16-0509","한식/중식/일식","전통음식","한식 일반","송림골","송림골","서울특별시","동대문구","청량리동"
"BE_IW16-0510","한식/중식/일식","전통음식","한식 일반","송림식당","송림식당","서울특별시","광진구","자양3동"
"BE_IW16-0511","한식/중식/일식","전통음식","한식 일반","송림정","송림정","서울특별시","중랑구","면목4동"
"BE_IW16-0512","한식/중식/일식","전통음식","한식 일반","송백식당","송백식당","서울특별시","영등포구","당산2동"
"BE_IW16-0513","한식/중식/일식","전통음식","한식 일반","송암","송암","서울특별시","종로구","종로1.2.3.4가동"
"BE_IW16-0514","한식/중식/일식","전통음식","한식 일반","송오리","송오리","서울특별시","서대문구","홍은2동"
"BE_IW16-0941","한식/중식/일식","전통음식","한식 일반","토방","토방","서울특별시","강북구","인수동"
"BE_IW16-0942","한식/중식/일식","전통음식","한식 일반","토방","토방","서울특별시","송파구","풍납2동"
"BE_IW16-0943","한식/중식/일식","전통음식","한식 일반","토속정","토속정","서울특별시","은평구","진관동"
"BE_IW16-0944","한식/중식/일식","전통음식","한식 일반","토속촌","토속촌","서울특별시","서대문구","연희동"
"BE_IW16-0945","한식/중식/일식","전통음식","한식 일반","토종순대국","토종순대국","서울특별시","은평구","응암1동"
"BE_IW16-0946","한식/중식/일식","전통음식","한식 일반","통나무집","통나무집","서울특별시","은평구","불광1동"
"BE_IW16-0947","한식/중식/일식","전통음식","한식 일반","통나무집","통나무집","서울특별시","서초구","내곡동"
"BE_IW16-0948","한식/중식/일식","전통음식","한식 일반","통나무집","통나무집","서울특별시","도봉구","쌍문3동"
"BE_IW16-0949","한식/중식/일식","전통음식","한식 일반","통나무집","통나무집","서울특별시","양천구","목2동"
"BE_IW16-0950","한식/중식/일식","전통음식","한식 일반","통영굴밥","통영굴밥","서울특별시","중랑구","중화2동"
"BE_IW16-0951","한식/중식/일식","전통음식","한식 일반","통영굴밥","통영굴밥","서울특별시","송파구","송파1동"
"BE_IW16-0952","한식/중식/일식","전통음식","한식 일반","통영굴밥","통영굴밥","서울특별시","강남구","역삼1동"
"BE_IW16-0953","한식/중식/일식","전통음식","한식 일반","툇마루밥상","툇마루밥상","서울특별시","송파구","문정1동"
"BE_IW16-0954","한식/중식/일식","전통음식","한식 일반","팔도","팔도","서울특별시","노원구","공릉1동"
"BE_IW16-0955","한식/중식/일식","전통음식","한식 일반","평양면옥","평양면옥","서울특별시","성북구","석관동"
"BE_IW16-0956","한식/중식/일식","전통음식","한식 일반","평창갈비","평창갈비","서울특별시","강남구","수서동"
"BE_IW16-0957","한식/중식/일식","전통음식","한식 일반","포도식당","포도식당","서울특별시","강남구","신사동"
"BE_IW16-0958","한식/중식/일식","전통음식","한식 일반","포도청","포도청","서울특별시","송파구","장지동"
"BE_IW16-0959","한식/중식/일식","전통음식","한식 일반","푸른바다","푸른바다","서울특별시","용산구","한남동"
"BE_IW16-0960","한식/중식/일식","전통음식","한식 일반","푸주옥","푸주옥","서울특별시","양천구","신정3동"
"BE_IW16-0961","한식/중식/일식","전통음식","한식 일반","푸주옥","푸주옥","서울특별시","영등포구","대림3동"
"BE_IW16-0962","한식/중식/일식","전통음식","한식 일반","푸짐한집","푸짐한집","서울특별시","금천구","독산1동"
"BE_IW16-0963","한식/중식/일식","전통음식","한식 일반","풀향기","풀향기","서울특별시","용산구","한남동"
"BE_IW16-0964","한식/중식/일식","전통음식","한식 일반","풍경","풍경","서울특별시","강북구","우이동"
"BE_IW16-0965","한식/중식/일식","전통음식","한식 일반","풍년갈비","풍년갈비","서울특별시","송파구","가락1동"
"BE_IW16-0966","한식/중식/일식","전통음식","한식 일반","풍년명절","풍년명절","서울특별시","은평구","응암3동"
"BE_IW16-0967","한식/중식/일식","전통음식","한식 일반","풍천민물장어","풍천민물장어","서울특별시","강남구","개포4동"
"BE_IW16-0968","한식/중식/일식","전통음식","한식 일반","풍천장어","풍천장어","서울특별시","강동구","고덕1동"
"BE_IW16-0969","한식/중식/일식","전통음식","한식 일반","풍천장어","풍천장어","서울특별시","노원구","상계3.4동"
"BE_IW16-0970","한식/중식/일식","전통음식","한식 일반","풍천장어","풍천장어","서울특별시","용산구","용문동"
"BE_IW16-0971","한식/중식/일식","전통음식","한식 일반","풍천장어","풍천장어","서울특별시","종로구","종로1.2.3.4가동"
"BE_IW16-0972","한식/중식/일식","전통음식","한식 일반","풍천장어","풍천장어","서울특별시","강남구","논현1동"
"BE_IW16-0973","한식/중식/일식","전통음식","한식 일반","프로간장게장","프로간장게장","서울특별시","서초구","잠원동"
"BE_IW16-0974","한식/중식/일식","전통음식","한식 일반","프로간장게장/삼성코엑스점","프로간장게장삼성코엑스점","서울특별시","강남구","삼성1동"
"BE_IW16-0975","한식/중식/일식","전통음식","한식 일반","피양할머니","피양할머니","서울특별시","강남구","역삼1동"
"BE_IW16-0976","한식/중식/일식","전통음식","한식 일반","필경재","필경재","서울특별시","강남구","수서동"
"BE_IW16-0977","한식/중식/일식","전통음식","한식 일반","하누소","하누소","서울특별시","도봉구","창5동"
"BE_IW16-0978","한식/중식/일식","전통음식","한식 일반","하늘담","하늘담","서울특별시","송파구","삼전동"
"BE_IW16-0979","한식/중식/일식","전통음식","한식 일반","하동관","하동관","서울특별시","중구","명동"
"BE_IW16-0980","한식/중식/일식","전통음식","한식 일반","하루","하루","서울특별시","송파구","석촌동"
"BE_IW16-0981","한식/중식/일식","전통음식","한식 일반","하르방똥돼지","하르방똥돼지","서울특별시","노원구","상계3.4동"
"BE_IW16-0982","한식/중식/일식","전통음식","한식 일반","하얀집","하얀집","서울특별시","서초구","양재2동"
"BE_IW16-0983","한식/중식/일식","전통음식","한식 일반","하이미트/길동점","하이미트길동점","서울특별시","강동구","길동"
"BE_IW16-0984","한식/중식/일식","전통음식","한식 일반","한강가든","한강가든","서울특별시","용산구","서빙고동"
"BE_IW16-0985","한식/중식/일식","전통음식","한식 일반","한국관","한국관","서울특별시","마포구","서교동"
"BE_IW16-0986","한식/중식/일식","전통음식","한식 일반","한국관","한국관","서울특별시","용산구","남영동"
"BE_IW16-0987","한식/중식/일식","전통음식","한식 일반","한국관","한국관","서울특별시","강서구","염창동"
"BE_IW16-0988","한식/중식/일식","전통음식","한식 일반","한국관도곡점","한국관도곡점","서울특별시","강남구","도곡1동"
"BE_IW16-0989","한식/중식/일식","전통음식","한식 일반","한국회관","한국회관","서울특별시","중구","명동"
"BE_IW16-0990","한식/중식/일식","전통음식","한식 일반","한마루","한마루","서울특별시","관악구","미성동"
"BE_IW16-0991","한식/중식/일식","전통음식","한식 일반","한마루","한마루","서울특별시","서초구","방배4동"
"BE_IW16-0992","한식/중식/일식","전통음식","한식 일반","한미장","한미장","서울특별시","강북구","우이동"
"BE_IW16-0993","한식/중식/일식","전통음식","한식 일반","한사랑","한사랑","서울특별시","송파구","방이1동"
"BE_IW16-0994","한식/중식/일식","전통음식","한식 일반","한상","한상","서울특별시","은평구","갈현2동"
"BE_IW16-0995","한식/중식/일식","전통음식","한식 일반","한서","한서","서울특별시","서대문구","북아현동"
"BE_IW16-0517","한식/중식/일식","전통음식","한식 일반","송원","송원","서울특별시","중구","장충동"
"BE_IW16-0518","한식/중식/일식","전통음식","한식 일반","송현","송현","서울특별시","서초구","서초2동"
"BE_IW16-0519","한식/중식/일식","전통음식","한식 일반","수강","수강","서울특별시","영등포구","영등포동"
"BE_IW16-0520","한식/중식/일식","전통음식","한식 일반","수라","수라","서울특별시","영등포구","당산1동"
"BE_IW16-0521","한식/중식/일식","전통음식","한식 일반","수라청","수라청","서울특별시","서초구","서초3동"
"BE_IW16-0522","한식/중식/일식","전통음식","한식 일반","수림식당","수림식당","서울특별시","강서구","화곡4동"
"BE_IW16-0523","한식/중식/일식","전통음식","한식 일반","수정식당","수정식당","서울특별시","강동구","성내1동"
"BE_IW16-0524","한식/중식/일식","전통음식","한식 일반","수향","수향","서울특별시","중랑구","상봉2동"
"BE_IW16-0525","한식/중식/일식","전통음식","한식 일반","숙자네부대전골","숙자네부대전골","서울특별시","서초구","서초3동"
"BE_IW16-0526","한식/중식/일식","전통음식","한식 일반","쉐플로","쉐플로","서울특별시","강남구","도곡2동"
"BE_IW16-0527","한식/중식/일식","전통음식","한식 일반","스타쉐프","스타쉐프","서울특별시","강남구","도곡2동"
"BE_IW16-0528","한식/중식/일식","전통음식","한식 일반","시골길","시골길","서울특별시","강북구","우이동"
"BE_IW16-0529","한식/중식/일식","전통음식","한식 일반","시골농장","시골농장","서울특별시","서대문구","신촌동"
