"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명"
"3040000","CDFF2241142023000001","2023-03-21","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 중곡동 82-4","서울특별시 광진구 영화사로 28, 1층 (중곡동)","04949","뽑짱","2023-03-21 18:19:56","I","2022-12-02 22:03:00.0","","207883.538791714","450534.972866627","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3150000","CDFF2241142017000057","2017-12-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 화곡동 29-50","서울특별시 강서구 까치산로 85, 1층 (화곡동)","07678","Funny놀이터Zone","2023-03-22 09:28:23","U","2022-12-02 22:04:00.0","","186469.922354221","449335.468608457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3090000","CDFF2241142019000009","2019-06-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 도봉구 방학동 648-41","서울특별시 도봉구 도당로27길 15, 1층 (방학동)","01352","뽑기 매니아","2023-04-17 16:20:19","U","2022-12-03 23:09:00.0","","203531.73802902","462847.426744451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFF2241142017000018","2017-04-21","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 자양동 12-1","서울특별시 광진구 동일로18길 44, 1층 (자양동)","05079","뽑짱","2023-03-10 16:59:02","U","2022-12-02 23:02:00.0","","205689.831170704","448561.507000183","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFF2241142023000002","2023-03-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 자양동 227-7 더샵스타시티","서울특별시 광진구 아차산로 272, 더샵스타시티 2층 (자양동)","05065","GAME PARK","2023-03-28 13:55:54","I","2022-12-02 21:00:00.0","","206349.675048285","448396.939704285","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3060000","CDFF2241142017000002","2017-01-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 상봉동 130-103 지앤지타운","서울특별시 중랑구 중랑천로12길 45, 지앤지타운 1층 (상봉동)","02120","프렌즈샵","2023-03-28 11:04:23","U","2022-12-02 21:00:00.0","","206584.403761064","454518.196629369","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3140000","CDFF2241142022000002","2022-12-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 양천구 신정동 1025-28","서울특별시 양천구 신월로36길 7, 1층 (신정동)","08086","뽑캉스","2023-03-30 16:20:43","U","2022-12-04 00:01:00.0","","187422.199359901","446541.706872066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3070000","CDFF2241142023000001","2023-03-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성북구 동선동1가 23 1층","서울특별시 성북구 동소문로20길 37-23, 1층 (동선동1가)","02845","헌터박스","2023-04-03 16:42:24","D","2022-12-04 00:05:00.0","","201522.863621305","454334.835416032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3140000","CDFF2241142019000005","2019-07-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 양천구 신월동 88-1","서울특별시 양천구 월정로36길 12, 1층 (신월동)","07907","뽑캉스","2023-03-30 14:15:01","U","2022-12-04 00:01:00.0","","185311.204912495","448468.988920193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3140000","CDFF2241142017000040","2017-12-01","","01","영업/정상","13","영업중","","","","","","","","서울특별시 양천구 신월동 159-53 1층","서울특별시 양천구 남부순환로40길 12, 1층 (신월동)","07911","킹콩놀이샵","2023-03-30 14:21:29","U","2022-12-04 00:01:00.0","","184716.444911673","448095.709412349","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3140000","CDFF2241142017000026","2017-04-18","","01","영업/정상","13","영업중","","","","","","","","서울특별시 양천구 신월동 159-50","서울특별시 양천구 남부순환로40길 16-1 (신월동)","07911","두두플레이방","2023-03-30 14:17:34","U","2022-12-04 00:01:00.0","","184703.488585198","448075.493435936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3070000","CDFF2241142016000007","2016-08-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성북구 동선동1가 85-107","서울특별시 성북구 동소문로22길 43, 1층 (동선동1가)","02845","대빵인형뽑기(구:랜덤박스 ?) -","2023-03-29 14:41:07","U","2022-12-04 00:01:00.0","","201553.997404472","454324.265472233","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3050000","CDFF2241142022000002","20220428","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 이문동 305-152 3층","서울특별시 동대문구 휘경로 17, 3층 (이문동)","02419","럭스게임장","2022-04-28 17:35:34","I","2021-12-03 21:00:00.0","","205420.589934149","454834.765822856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3110000","CDFF2241142022000001","20220404","","01","영업/정상","13","영업중","","","","","023593578","","","서울특별시 은평구 갈현동 398-4 인락빌딩","서울특별시 은평구 연서로29길 8-8, 인락빌딩 2층 (갈현동)","03330","짱구게임","2022-08-29 11:00:58","U","2021-12-07 21:01:00.0","","192845.044379709","457412.609904875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3190000","CDFF2241142023000001","2023-04-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동작구 노량진동 117-20 노량진 거성빌딩","서울특별시 동작구 만양로14가길 26, 노량진 거성빌딩 3층 (노량진동)","06913","3층게임장","2023-04-08 15:49:06","I","2022-12-03 23:00:00.0","","195062.158455459","445615.996713762","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3240000","CDFF2241142016000001","2016-07-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 성내동 446-24 WE7(위세븐) 301호","서울특별시 강동구 성안로 10, WE7(위세븐) 301호 (성내동)","05407","피에스레이싱","2023-04-11 14:28:21","U","2022-12-03 23:03:00.0","","211378.80403881","446959.93759108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3070000","CDFF2241142023000002","2023-03-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성북구 동선동1가 23 1층","서울특별시 성북구 동소문로20길 37-23, 1층 (동선동1가)","02845","헌터박스","2023-03-31 10:57:43","I","2022-12-04 00:02:00.0","","201522.863621305","454334.835416032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3120000","CDFF2241142023000001","2023-03-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 홍은동 402-9 1층","서울특별시 서대문구 거북골로 7, 1층 좌2호 (홍은동)","03662","타겟월드","2023-03-31 13:07:45","I","2022-12-04 00:02:00.0","","193422.865353929","453194.203706638","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3070000","CDFF2241142023000003","2023-04-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성북구 동선동1가 23 1층","서울특별시 성북구 동소문로20길 37-23, 1층 (동선동1가)","02845","헌터박스","2023-04-03 16:40:31","I","2022-12-04 00:05:00.0","","201522.863621305","454334.835416032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3090000","CDFF2241142019000012","2019-10-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 도봉구 방학동 648-40","서울특별시 도봉구 도당로27길 17, 1층 (방학동)","01352","통큰뽑기방","2023-04-18 15:08:41","U","2022-12-03 22:00:00.0","","203531.548058863","462862.170383897","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3050000","CDFF2241142023000002","2023-04-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 제기동 137-60","서울특별시 동대문구 안암로 146, 1층 (제기동)","02473","인형뽑기샵","2023-04-07 15:51:37","I","2022-12-04 00:09:00.0","","202979.871877406","453944.001917371","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
