분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류
클래식,마포구, M 아티스트 2023 김도현 피아노 리사이틀 II,2023-12-05~2023-12-05, (화) 20:00,, 8세이상관람가[미취학아동입장불가]," VIP석 55,000원, R석 44,000원, S석 33,000원",피아니스트 김도현,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2176&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a59720cd9c34bbfa056eb6b5031f809&thumb=Y,2023-03-15,기관,2023-12-05,2023-12-05,기타
콘서트,강동구,"Dear Next Generation, 유다빈밴드(YUDABINBAND)",2023-09-28~2023-09-28,강동아트센터 대극장 한강,,14세이상 관람가,"R석 66,000원 S석 44,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1925&cpage=2&rows=10&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c694a4f0777040b994e88390c2b982b1&thumb=Y,2023-03-02,기관,2023-09-28,2023-09-28,기타
콘서트,강동구,"Dear Next Generation, 라쿠나(LACUNA)",2023-06-30~2023-06-30,강동아트센터 대극장 한강,,14세이상 관람가,"R석 66,000원 S석 44,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1924&cpage=1&rows=10&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9ed79127f4af4011934a1b4543a3ef65&thumb=Y,2023-02-28,기관,2023-06-30,2023-06-30,기타
국악,강동구,6월 한밤의 공연 산책 [만보와 별별머리],2023-06-30~2023-06-30,강동아트센터 소극장 드림,,36개월이상 관람가,"전석 20,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1944&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e9d8104ec63a4e2a87eb15b69d3b0bb8&thumb=Y,2023-04-24,기관,2023-06-30,2023-06-30,기타
콘서트,광진구,2023 [나루 뮤지컬 나잇],2023-06-24~2023-06-24,나루아트센터 대공연장,,중학생 이상,"R석 60,000원 / S석 40,000원",,,,https://www.naruart.or.kr/bbs/board.php?bo_table=performance&wr_id=823&page=2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dd79fddeee47453aa1944653ee7c098f&thumb=Y,2023-02-15,기관,2023-06-24,2023-06-24,기타
콘서트,강북구,송대관 콘서트,2023-06-24~2023-06-24,성신여대 운정그린캠퍼스 대강당,,누구나,전석 5만원 (강북구민 특별할인 1만원),,,,http://www.gbcf.or.kr/load.asp?subPage=110.view&cate=A&idx=148,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=de15e7f858704a77bf1a9eadf735767a&thumb=Y,2023-04-21,기관,2023-06-24,2023-06-24,기타
무용,중구,국립무용단 [산조],2023-06-23~2023-06-25,국립극장 해오름,국립극장 국립무용단 ,8세 이상 관람가,"VIP석 7만원, R석 5만원, S석 3만원, A석 2만원",국립무용단,,,https://me2.do/5t4dt9a7,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7a87acb9dcec4782af0c1c033b7b1745&thumb=Y,2023-04-25,기관,2023-06-23,2023-06-25,
국악,중구,음악극 시인의 나라,2023-06-23~2023-06-24,서울남산국악당,,7세 이상,"전석 20,000원",,,,https://www.hanokmaeul.or.kr/ko/g/perf/%ec%9d%8c%ec%95%85%ea%b7%b9_%ec%8b%9c%ec%9d%b8%ec%9d%98-%eb%82%98%eb%9d%bc,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9ba19fe6e0ba48d890fd1c5ca2468cd2&thumb=Y,2023-03-24,기관,2023-06-23,2023-06-24,기타
연극,강동구,연극 '벽 속의 요정',2023-06-23~2023-06-24,강동아트센터 소극장 드림,,8세(취학아동) 이상 관람가,"R석 44,000원 S석 33,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1931&cpage=2&rows=10&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e6675075162249b0a7a544534182c761&thumb=Y,2023-03-23,기관,2023-06-23,2023-06-24,기타
콘서트,마포구,2023 M 레트로 시리즈 《어떤가요 #5》 '3 Rockers',2023-06-21~2023-06-21,마포아트센터 아트홀맥,, 8세 이상 관람가[미취학아동입장불가]," R 66,000원, S 55,000원, A 44,000원","김종서, 김바다, 김상민",,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2159&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=003608d00e4c427ebda2fcdf56bebd9f&thumb=Y,2023-02-15,기관,2023-06-21,2023-06-21,기타
