"순번","자치구","거리","소요시간","추천수","연계지하철역","연계코스","연계공원","교통편","상세코스","설명","코스명","코스대분류","강남강북구분","코스레벨"
"1","강서구","2.51km","1시간30분","0","9호선","","","진입로 1 : 양천향교역 지하철 9호선 2번 출입구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다."," 양천향교~겸재정선기념관~구암공원~허준박물관"," 강서구의 명소들을 차례로 들르며 걷게 되는 코스 가장 먼저 서울 유일의 향교인 양천향교를 지난다.","강서문화 산책길","생태문화길","강남권","초급"
"2","성북구","2.20km","1시간30분","0","4호선,6호선","","","진입로 1 : 길음역 지하철 4호선 2번 출구 <br /> 진입로 2 : 통일교회 버스 정류장 마을 성북15, 21 <br /> 진입로 3 : 도보진입 <br /> 진입로 4 : 고려대아이스링크 버스 정류장 마을 성북20 <br /> 진입로 5 : 도보진입 <br />  진입로 6 : 고려대역 지하철 6호선 1번 출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.       "," 개운초등학교~성북구의회~고려대 북문"," 대도시에서 “녹색허파”로서의 역할과 수도권 주민들의 자연휴식처로 크게 애용되고 있다. 개운산은 성북구 안암동에 있는 산으로서 안암산, 진석산(陳石山)이라고도 한다. 노선 주변에는 태조 5년(1396) 왕사 무학이 창건한 개운사가 있어 산의 이름이 되었다. 산 중턱 이상까지 도로가 놓여져 접근하기 쉬우며 산을 한 바퀴 빙 둘러볼 수도 있고, 이 코스처럼 중턱 숲길을 따라 걷다 고려대 캠퍼스의 고풍스러운 건물을 감상하는 길로 연결해 볼 수도 있다. 개운산은 정상과 중턱 오솔길 모두 성북구에서 공을 들여 가꾼 흔적이 역력하다. 또 정상 조망대에서는 그리 높지 않은 곳임에도 시원한 도심 전망을 만끽할 수 있다.","개운산 숲 나들길","생태문화길","강북권","초급"
"3","구로구","1.50km","1시간","0","1호선","","","진입로 1 : 오류동역 지하철 1호선 1번 출구 <br />      진입로 2 : 개봉한진아파트 버스정류장(17-477) 마을버스 구로03 <br />    진입로 3 : 한진아파트 후문 버스정류장(17-749) 마을버스 구로04 <br />   ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.                 "," 배드민턴장~야생화단지~숲속길"," 개웅산은 능선이 세 방향으로 뻗어 내려 삼각형 모양을 이루고 있는 산으로서 산 전체가 단풍나무, 아까시나무, 소나무, 참나무 등 다양한 식생이 잘 보존된 전형적인 자연상태의 공원이다. 연간 10만여 명의 시민들이 이용하고 있으며, 등산로 주변에 약수터와 의자 등 휴게시설이 설치되어 시민들로부터 좋은 반응을 얻고 있다.","개웅산 숲 산책길","생태문화길","강남권","초급"
"4","강서구","7.74km","2시간40분","0","5호선","","","진입로 1 : 개화산역 지하철 5호선 2번 출구 <br />      진입로 2 ~ 5 : 도보접근 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.      "," 하늘길 전망대~개화산 호국충혼비~약사사"," 개화산에서 시작하는 이 길은 오솔길과 여러 공원들이 각기 특별한 매력을 발산하며 독특한 재미를 안긴다.","개화산 나들길(강서 둘레길 1,2코스)","생태문화길","강남권","중급"
"5","강동구","1.90km","1시간30분","0","5호선","","","진입로1 : 명일역 지하철 5호선 3번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.","명일역 3번 출입구~고덕산 정상"," 해발 100m 미만의 낮고 순탄한 숲길이지만 계절 따라 순환하는 자연의 섭리를 그대로 느낄 수 있다. ","고덕산 산책길","생태문화길","강남권","초급"
"6","관악구,금천구","5.58km","2시간","0","2호선","","","진입로 1 : 법대입구 버스 정류장(21-298) 지선버스 5511,5516 <br /> (서울대학교 버스 정류장(21-127)에서 등산로 입구를 통해 관악산야외식물원, 관악산호수공원으로 진입 가능)<br /> - 지하철 2호선 서울대입구역 3번 출구 서울대입구역 버스 정류장(21-330)에서 지선버스 5511, 5513, 5515 탑승 서울대학교(21-127)에서 하차<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.     "," 관악산호수공원~용천수~관악산야외식물원"," 관악산 계곡길은 사시사철 언제라도 시원한 물줄기를 따라 길을 잇는다. 관악산 등산로는 본래 어려움이 많은 길이지만 이곳에 소개하는 길은 가파른 경사로가 시작되기 직전인 무너미고개 앞 삼거리약수터에서 다시 돌아오도록 되어 있어 남녀노소 누구라도 편안한 걷기를 즐길 수 있다. ","관악산 계곡 나들길","생태문화길","강남권","중급"
"7","관악구,금천구","6.99km","3시간","0","","","","진입로 1 : 신동아아파트 버스 정류장(21-326) 지선버스 5515 <br /> - 지하철 2호선 서울대입구역 3번 출구 버스정류장 서울대입구역(21-330)에서 지선 버스 5515 탑승 가능 <br />        진입로 2 : 삼성산성지 버스 정류장(21-176) 간선버스 152,506 지선버스 6515,5517,5522B,8541 <br />    진입로 3 : 산장아파트 버스 정류장(21-175) 간선버스 152,506 지선버스 6515,5517,5522B,8541 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다."," 샘말공원~맨발공원~약수암~신우초등학교"," 예전부터 고시원이 밀집된 대학동 일대를 걸을 수 있도록 기 조성된 공원들을 연결하여 고시생들과 주민들이 편하게 이용할 수 있도록 개발된 코스이다.","관악산 나들길","생태문화길","강남권","중급"
"8","관악구,금천구","0.81km","40분","0","","","","진입로 : 사당역 지하철 2, 4호선  4번 출입구"," 관음사~상록약수터"," 오래된 나무와 온갖 풀이 바위와 어우러져 철따라 변하는 모습이 마치 금강산과 같다 하여 소금강 또는 서금강 이라고 불리는 관악산의 관음사는 관악산의 북측에 위치하며, 신라 말기의 고승 도선국사가 895년(진성여왕 9년)에 창건한 유서깊은 사찰이다","관음사 산책길","생태문화길","강남권","초급"
"9","구로구","6.90km","3시간","0","1호선,7호선","","","진입로 1 ~ 3 : 도보진입 <br />      진입로 2 : 신정이펜하우스1단지 버스 정류장 마을버스 양천03 <br />      진입로 3 : 동부골든아파트 후문 버스 정류장 마을버스 구로08 <br />    진입로 4 : 온수역 지하철 1, 7호선 6번 출입구  <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.","지양산 숲길~차돌바위~궁동터널 위 지양산 숲길 시작","위성사진을 통해 본 지양산 일대는 서울 남서쪽에 동동 떠 있는 커다란 섬이다. 삭막한 도시 속의 오아시스 같은 지양산은 낮고도 넓게 뻗어 수많은 오솔길을 품었다. 많은 산보객들이 발끝으로 반질반질하게 닦아 놓은 청정 숲길은 인근의 매봉산과 원미산으로까지 영토를 넓혔다. 그래서 그 깊은 속살을 다 들여다보려면 몇날 며칠이 필요할 지 가늠하기 어렵다.","구로 지양산 숲 나들길","생태문화길","강남권","중급"
"10","강남구","6.02km","2시간30분","0","3호선","","","진입로 1 :  매봉역 지하철 3호선 4번 출구 <br />      진입로 2 : 능인선원앞 버스 정류장(23-367) 간선버스 141, 지선버스 4412, 순환버스 41 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다."," 달터근린공원~구룡산길 시작~개암약수터"," 구룡산은 옛날 임신한 여인이 용 열 마리가 승천하는 것을 보고 놀라 소리치는 바람에 한 마리가 떨어져 죽고 아홉 마리만 하늘로 올라갔다 하여 붙여졌다. 코스 대부분이 숲길로 이루어져 햇빛이 비추는 여름에도 시원한 그늘 밑을 걸을 수 있으며 높거나 산길이 험하지 않아 부담 없이 산행을 즐길 수 있다.  다만 구룡산 진입로부터 개암약수터까지는 약간의 오르막이 20분 정도 진행되나 나무계단 등의 편의시설이 있어 노약자도 쉬엄쉬엄 올라가면 진행에 큰 무리는 없다.","구룡산 나들길","생태문화길","강남권","중급"
"11","관악구,금천구","1.22km","40분","0","2호선","","","진입로 1 : 낙성대공원, 영어마을 버스 정류장 마을버스 관악02 <br /> - 지하철 2호선  낙성대역 4번 출구 맞은편에서 마을버스 관악02 탑승 가능 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다."," 안국사~낙성대공원","낙성대 공원을 지나 관악산 능선과 이어져있고, 강감찬장군 동상, 안국사 등 볼거리가 풍부하다.","낙성대 산책길","생태문화길","강남권","초급"
