"순번","자치구","거리","소요시간","추천수","연계지하철역","연계코스","연계공원","교통편","상세코스","설명","코스명","코스대분류","강남강북구분","코스레벨"
"1","강북구,도봉구","0.21Km","20분","0","4호선","","","진입로1 : 본원정사 버스 정류장 마을 강북02 <br />   - 수유역 지하철 4호선 3번 출구 강북 02탑승 본원정사 하차 <br />  진입로2 : 서울영어마을수유캠프국립재활원 입구 버스 정류장(09-118)  간선 151 지선 1165<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","본원정사 인근~국립재활원 인근","강북구 수유동에서 발원하여 우이천으로 합류된 후 중랑천으로 유입되는 하천으로 산책코스로 이용","가오천길","한강지천길/계절길","강북권","초급"
"2","강남구","10.17Km","3시간","0","3호선,4호선,7호선,9호선","","","진입로1 : 동작역 지하철 4, 9호선 1번 출구<br /> 진입로2 : 압구정역 지하철 3호선 6번 출구<br /> 진입로3 : 청담역 지하철 7호선<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","한강홍수통제소 인근~달빛광장 인근~한강공원잠원지구 인근~성수대교 인근~한양8차아파트 인근구산아파트 인근~청담도로공원 인근","한국의 중부, 강원도, 충청북도, 경기도, 서울특별시를 거쳐 황해로 유입하는 강을 따라 산책로로 이용<br />  <div class='table_css'> <table cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 세부코스</caption> 	<tr> 		  <th colspan='2' scope='col' class='end'>세부코스</th> 		  <th scope='col'>거리(km)</th> 		  <th scope='col'>소요시간</th> 		  <th scope='col'>비고</th> 	  </tr> 	<tr> 		<td rowspan='3' class='end'>강남서초한강길</td> 	</tr> 	<tr> 		  <td>1</td> 		  <td>5.85</td> 		  <td>1시간 40분</td> 		  <td>동작역 인근~동호대교 인근(압구정역)</td> 	</tr> 	<tr> 	 	  <td>2</td> 		  <td>4.32</td> 		  <td>1시간 20분</td> 		  <td>동호대교 인근(압구정역)~청담도로공원(청담역)</td> 	</tr> 	 </table> </div>","강남서초한강길","한강지천길/계절길","강남권","초급"
"3","강서구","8.91Km","3시간","0","5호선,9호선","","","진입로 1 : 방화역 지하철 5호선 2번 출구 강서07 탑승 강서습지생태공원 하차<br /> 진입로 2 : 양천향교역 지하철 9호선 2번 출구<br /> 진입로 3 : 가양역 지하철 9호선 4번 출구<br />    ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","전호리마을회관 인근~서울도시철도공사방화차량기지 인근~강서습지생태공원 인근~축구장 인근~양천향교 인근~가양역 인근~염창동동아아파트 인근","공원조성이 잘되있고, 인근 주거지역이 많아 주민들이 산책하는 길로 많이 이용한다","강서한강길","한강지천길/계절길","강남권","초급"
"4","강동구","4.18Km","1시간 30분","0","5호선","","","진입로 1 : 고덕리엔파크1단지 버스 정류장(25-104) 간선 340, 351, 370 지선 3321, 3318, 3412, 3413 마을 강동02 <br />  진입로 2 : 상일동역 지하철 5호선 3번출구에서 도보로 이동 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","고덕천교 인근~고덕차량기지 인근~강동고양차고지 인근~고덕주공6단지 인근","주변 아파트단지를 끼고 흐르고 있어 인근 주민들이 산책길로 이용한다","고덕천길","한강지천길/계절길","강남권","초급"
"5","강서구","9.35Km","2시간30분","0","9호선","","","진입로 1 : 개화동 버스 정류장(16-998) 버스 69, 66 대두둑천(대장동수로)으로 이동<br />  진입로 2 : 대장동종점 버스 정류장(13-058) 버스 12-1<br /> 진입로 3 : 화혜단지 버스 정류장(16-981) 직행 1001 굴포천으로 이동<br /> 진입로 4 : 개화역 지하철 9호선 1번 출구 개화축구장 방향으로 대두둑천(대장동수로)으로 이동 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","개화동버스정류장 인근~굴포천하류 인근~김포공항 인근~굴포천상류 인근~덕산초등학교대장분교장 인근","인근에 김포공항이 자리하고 있으며, 굴포천과 인접한 대두둑천(대장동수로)도 걸을 수 있다. 주변 부지는 논, 밭으로 사용되고 있다.","굴포천(대두둑천)","한강지천길/계절길","강남권","초급"
"6","노원구","2.84Km","2시간","0","4호선,7호선","","","진입로 1 : 상계역 지하철 4호선 4번 출구<br /> 진입로 2 : 중계역 지하철 7호선 6번 출구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","상계역 인근~양지마을 대림 2차 아파트 인근~가재울 근린공원 인근~학여울 청구아파트 인근","주변 학교 주거지역과 인접해 있어 접근성이 좋아 인근 주민들이 자주 이용한다","당현천길","한강지천길/계절길","강북권","초급"
"7","강북구,도봉구","0.67Km","30분","0","4호선","","","진입로 1 : 수유역 지하철 4호선 1번 출구에서 마을버스 강북01 탑승 강북청소년수련관 버스 정류장에서 하차 <br /> 진입로 2 : 국립419묘지 버스정류장(09-197) 간선104, 지선1119 , 1126, 마을 강북01<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","선일교통종점 인근~산양로 139길 인근","북한산성 대동문 기슭에서 발원하여 우이천으로 흘러들어가는 개울로 동네주민들의 산책로로 이용","대동천길","한강지천길/계절길","강북권","초급"
"8","관악구,구로구,금천구,영등포구","10.56Km","3시간30분","0","1호선,2호선,7호선","","","진입로 1 : 도림천역 지하철 2호선 2번 출구<br /> 진입로 2 : 신도림역 지하철 1, 2호선 2번 출구<br /> 진입로 3 : 대림역 지하철 2, 7호선 8번 출구<br /> 진입로 3 : 구로디지털역 지하철 2호선<br /> 진입로 4 : 신림역 지하철 2호선 4번 출구<br /> 진입로 5 : 서울대학교 버스정류장(21-127) 간선 501, 506 지선 6515, 5511, 5513, 5515, 5516, 5517, 5528, 6512, 6513, 6514<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","박정희 대통령 흉상 인근~영남중학교 인근~구로디지털단지역 인근~보라매공원 인근~신림역 인근~장군봉근린공원 인근~청룡산 인근","주변에 많은 볼거리와 접근성이 좋아 인근 주민들이 산책로로 사용한다. <br /> <div class='table_css'> <table cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 세부코스</caption> 	<tr> 		  <th colspan='2' scope='col' class='end'>세부코스</th> 		  <th scope='col'>거리(km)</th> 		  <th scope='col'>소요시간</th> 		  <th scope='col'>비고</th> 	  </tr> 	<tr> 		<td rowspan='3' class='end'>도림천길</td> 	</tr> 	<tr> 		  <td>1</td> 		  <td>4.06</td> 		  <td>1시간 10분</td> 		  <td>도림천역 인근~구로디지털단지역 인근</td> 	</tr> 	<tr> 	 	  <td>2</td> 		  <td>6.5</td> 		  <td>2시간 20분</td> 		  <td>구로디지털단지역 인근~신림역 인근~서울대학교</td> 	</tr> 	 </table> </div>","도림천길","한강지천길/계절길","강남권","초급"
"9","강북구,도봉구","2.78Km","1시간","0","1호선","","","진입로 : 도봉역 1호선 1번 출구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","무궁화제작소 인근~도봉로171길 인근~럭키아파트 인근~형진빌라 인근~도봉로177길 인근~성균관대도봉선수촌 인근","도봉산에서 발원하여 도봉동에서 중랑천으로 합류하는 하천으로 다양한 행사와 공연이 펼쳐짐","도봉천길","한강지천길/계절길","강북권","초급"
"10","강남구","2.48Km","1시간","0","8호선","","","진입로 : 지하철 8호선 장지역 3번 출구 가든파이브(탄천) 인근<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","가든파이브(탄천) 인근~성모자애복지관 인근~서울자원 인근~독정천끝 인근","탄천과 이어지는 길로 사람들이 산책길로 많이 이용하고 있다","독정천","한강지천길/계절길","강남권","초급"
